Area,County,Cancer Type,Year,Sex,Age-Adjusted Rate,Case Count,Population
Texas,Real County,All Types of Cancer,2016-2020,Male and Female,327.7,107,17146
Texas,Knox County,All Types of Cancer,2016-2020,Male and Female,434.6,109,18395
Texas,Hardeman County,All Types of Cancer,2016-2020,Male and Female,417.3,120,19789
Texas,Mason County,All Types of Cancer,2016-2020,Male and Female,323,120,21238
Texas,Hansford County,All Types of Cancer,2016-2020,Male and Female,400.3,121,27157
Texas,Presidio County,All Types of Cancer,2016-2020,Male and Female,262.2,124,34041
Texas,Dallam County,All Types of Cancer,2016-2020,Male and Female,378.5,125,36359
Texas,La Salle County,All Types of Cancer,2016-2020,Male and Female,343.3,128,37690
Texas,Martin County,All Types of Cancer,2016-2020,Male and Female,474.2,128,28380
Texas,Fisher County,All Types of Cancer,2016-2020,Male and Female,453,130,19135
Texas,Crosby County,All Types of Cancer,2016-2020,Male and Female,357.4,130,28766
Texas,Coke County,All Types of Cancer,2016-2020,Male and Female,490.6,135,16489
Texas,Bailey County,All Types of Cancer,2016-2020,Male and Female,357.3,135,34582
Texas,Baylor County,All Types of Cancer,2016-2020,Male and Female,466.4,138,17798
Texas,Castro County,All Types of Cancer,2016-2020,Male and Female,338.5,142,37807
Texas,Floyd County,All Types of Cancer,2016-2020,Male and Female,391.8,144,28908
Texas,Winkler County,All Types of Cancer,2016-2020,Male and Female,382.3,144,39112
Texas,San Saba County,All Types of Cancer,2016-2020,Male and Female,318.1,148,30018
Texas,Brooks County,All Types of Cancer,2016-2020,Male and Female,355.3,150,35499
Texas,Childress County,All Types of Cancer,2016-2020,Male and Female,393.1,155,36094
Texas,Kimble County,All Types of Cancer,2016-2020,Male and Female,414,156,21875
Texas,Carson County,All Types of Cancer,2016-2020,Male and Female,386.2,159,29783
Texas,Wheeler County,All Types of Cancer,2016-2020,Male and Female,453,162,25935
Texas,Lynn County,All Types of Cancer,2016-2020,Male and Female,458.8,165,29430
Texas,Mills County,All Types of Cancer,2016-2020,Male and Female,411.2,168,24386
Texas,Yoakum County,All Types of Cancer,2016-2020,Male and Female,419,170,43061
Texas,Ochiltree County,All Types of Cancer,2016-2020,Male and Female,364.7,173,49537
Texas,Haskell County,All Types of Cancer,2016-2020,Male and Female,438.4,176,28553
Texas,Parmer County,All Types of Cancer,2016-2020,Male and Female,338.7,177,48195
Texas,Swisher County,All Types of Cancer,2016-2020,Male and Female,394.3,182,37016
Texas,Jack County,All Types of Cancer,2016-2020,Male and Female,341.8,193,44441
Texas,Delta County,All Types of Cancer,2016-2020,Male and Female,517.2,198,26386
Texas,Dimmit County,All Types of Cancer,2016-2020,Male and Female,348.8,198,51162
Texas,Refugio County,All Types of Cancer,2016-2020,Male and Female,403.8,212,35075
Texas,Mitchell County,All Types of Cancer,2016-2020,Male and Female,455.7,214,41279
Texas,Zavala County,All Types of Cancer,2016-2020,Male and Female,353.3,219,59652
Texas,Brewster County,All Types of Cancer,2016-2020,Male and Female,329.1,222,46154
Texas,Goliad County,All Types of Cancer,2016-2020,Male and Female,390.7,229,37891
Texas,Reeves County,All Types of Cancer,2016-2020,Male and Female,321,235,77730
Texas,Duval County,All Types of Cancer,2016-2020,Male and Female,352.3,239,55971
Texas,Ward County,All Types of Cancer,2016-2020,Male and Female,389.8,239,58723
Texas,Zapata County,All Types of Cancer,2016-2020,Male and Female,357.9,245,71215
Texas,Archer County,All Types of Cancer,2016-2020,Male and Female,406.2,261,43768
Texas,Somervell County,All Types of Cancer,2016-2020,Male and Female,447.5,270,44792
Texas,Andrews County,All Types of Cancer,2016-2020,Male and Female,340.5,276,91137
Texas,Terry County,All Types of Cancer,2016-2020,Male and Female,396.7,280,62042
Texas,Gaines County,All Types of Cancer,2016-2020,Male and Female,337.4,281,105387
Texas,Hamilton County,All Types of Cancer,2016-2020,Male and Female,423.8,281,42172
Texas,McCulloch County,All Types of Cancer,2016-2020,Male and Female,467.3,282,39849
Texas,Stephens County,All Types of Cancer,2016-2020,Male and Female,439.9,284,46788
Texas,San Augustine County,All Types of Cancer,2016-2020,Male and Female,403.1,292,41301
Texas,Coleman County,All Types of Cancer,2016-2020,Male and Female,414.1,293,41406
Texas,Pecos County,All Types of Cancer,2016-2020,Male and Female,359,297,78626
Texas,Dawson County,All Types of Cancer,2016-2020,Male and Female,431.1,302,64244
Texas,Lamb County,All Types of Cancer,2016-2020,Male and Female,390.6,312,65092
Texas,Karnes County,All Types of Cancer,2016-2020,Male and Female,372,316,77736
Texas,Frio County,All Types of Cancer,2016-2020,Male and Female,346.5,318,100064
Texas,Madison County,All Types of Cancer,2016-2020,Male and Female,390.7,321,71645
Texas,Runnels County,All Types of Cancer,2016-2020,Male and Female,440,321,51398
Texas,Live Oak County,All Types of Cancer,2016-2020,Male and Female,375.5,324,60875
Texas,Wilbarger County,All Types of Cancer,2016-2020,Male and Female,443.4,353,63586
Texas,Deaf Smith County,All Types of Cancer,2016-2020,Male and Female,400.7,365,93087
Texas,Clay County,All Types of Cancer,2016-2020,Male and Female,450.5,367,52218
Texas,Moore County,All Types of Cancer,2016-2020,Male and Female,376,370,105847
Texas,Franklin County,All Types of Cancer,2016-2020,Male and Female,485.7,375,53833
Texas,Scurry County,All Types of Cancer,2016-2020,Male and Female,390.4,375,84592
Texas,Willacy County,All Types of Cancer,2016-2020,Male and Female,346.7,385,107093
Texas,Marion County,All Types of Cancer,2016-2020,Male and Female,484.9,406,49933
Texas,Blanco County,All Types of Cancer,2016-2020,Male and Female,395.2,410,58665
Texas,Jackson County,All Types of Cancer,2016-2020,Male and Female,438.7,415,74109
Texas,Callahan County,All Types of Cancer,2016-2020,Male and Female,408.6,417,69793
Texas,Camp County,All Types of Cancer,2016-2020,Male and Female,506.8,425,64692
Texas,Sabine County,All Types of Cancer,2016-2020,Male and Female,427.9,426,52349
Texas,Newton County,All Types of Cancer,2016-2020,Male and Female,424.3,428,68942
Texas,Comanche County,All Types of Cancer,2016-2020,Male and Female,406.8,429,67983
Texas,Nolan County,All Types of Cancer,2016-2020,Male and Female,452.2,432,74507
Texas,Red River County,All Types of Cancer,2016-2020,Male and Female,439.9,443,60573
Texas,Rains County,All Types of Cancer,2016-2020,Male and Female,439,445,60005
Texas,Morris County,All Types of Cancer,2016-2020,Male and Female,494.6,448,61785
Texas,Robertson County,All Types of Cancer,2016-2020,Male and Female,386.2,460,85469
Texas,Falls County,All Types of Cancer,2016-2020,Male and Female,413.8,481,86403
Texas,Jones County,All Types of Cancer,2016-2020,Male and Female,413,487,99372
Texas,Gonzales County,All Types of Cancer,2016-2020,Male and Female,404.5,515,104142
Texas,Hockley County,All Types of Cancer,2016-2020,Male and Female,416.3,529,114930
Texas,Lee County,All Types of Cancer,2016-2020,Male and Female,455.8,535,85870
Texas,Gray County,All Types of Cancer,2016-2020,Male and Female,411.5,550,110315
Texas,Trinity County,All Types of Cancer,2016-2020,Male and Female,451.8,555,73445
Texas,Calhoun County,All Types of Cancer,2016-2020,Male and Female,409.4,564,107348
Texas,Eastland County,All Types of Cancer,2016-2020,Male and Female,415.6,566,91444
Texas,Young County,All Types of Cancer,2016-2020,Male and Female,459.6,572,89805
Texas,Leon County,All Types of Cancer,2016-2020,Male and Female,410.1,579,86627
Texas,DeWitt County,All Types of Cancer,2016-2020,Male and Female,423,593,101083
Texas,Burleson County,All Types of Cancer,2016-2020,Male and Female,442.7,597,91185
Texas,Freestone County,All Types of Cancer,2016-2020,Male and Female,441.2,609,98722
Texas,Hutchinson County,All Types of Cancer,2016-2020,Male and Female,465.4,615,105523
Texas,Bosque County,All Types of Cancer,2016-2020,Male and Female,430.2,644,92139
Texas,Colorado County,All Types of Cancer,2016-2020,Male and Female,413.7,649,106786
Texas,Lavaca County,All Types of Cancer,2016-2020,Male and Female,422.3,653,100359
Texas,Shelby County,All Types of Cancer,2016-2020,Male and Female,401.5,653,126313
Texas,Limestone County,All Types of Cancer,2016-2020,Male and Female,418.7,659,116822
Texas,Uvalde County,All Types of Cancer,2016-2020,Male and Female,433.4,663,134496
Texas,Tyler County,All Types of Cancer,2016-2020,Male and Female,416.2,669,107621
Texas,Kleberg County,All Types of Cancer,2016-2020,Male and Female,459,678,153623
Texas,Bee County,All Types of Cancer,2016-2020,Male and Female,420.3,692,163046
Texas,Montague County,All Types of Cancer,2016-2020,Male and Female,468.4,692,98201
Texas,Hale County,All Types of Cancer,2016-2020,Male and Female,402.3,709,167316
Texas,Titus County,All Types of Cancer,2016-2020,Male and Female,396,711,163544
Texas,Lampasas County,All Types of Cancer,2016-2020,Male and Female,486.6,722,105761
Texas,Panola County,All Types of Cancer,2016-2020,Male and Female,454.7,723,115931
Texas,Houston County,All Types of Cancer,2016-2020,Male and Female,421.8,734,114710
Texas,Bandera County,All Types of Cancer,2016-2020,Male and Female,365.8,748,113848
Texas,Howard County,All Types of Cancer,2016-2020,Male and Female,394.9,772,181065
Texas,Fayette County,All Types of Cancer,2016-2020,Male and Female,383.6,798,126236
Texas,Milam County,All Types of Cancer,2016-2020,Male and Female,458.6,816,123984
Texas,Austin County,All Types of Cancer,2016-2020,Male and Female,397.2,826,149458
Texas,Llano County,All Types of Cancer,2016-2020,Male and Female,376.7,836,107258
Texas,Grimes County,All Types of Cancer,2016-2020,Male and Female,442,839,142237
Texas,Erath County,All Types of Cancer,2016-2020,Male and Female,388.7,870,211130
Texas,Jim Wells County,All Types of Cancer,2016-2020,Male and Female,408.1,934,203982
Texas,San Jacinto County,All Types of Cancer,2016-2020,Male and Female,431.1,936,142868
Texas,Palo Pinto County,All Types of Cancer,2016-2020,Male and Female,475.2,941,143962
Texas,Caldwell County,All Types of Cancer,2016-2020,Male and Female,409.9,1002,214084
Texas,Aransas County,All Types of Cancer,2016-2020,Male and Female,476.4,1025,121098
Texas,Val Verde County,All Types of Cancer,2016-2020,Male and Female,410.9,1026,245089
Texas,Gillespie County,All Types of Cancer,2016-2020,Male and Female,437.5,1032,133338
Texas,Matagorda County,All Types of Cancer,2016-2020,Male and Female,449.9,1032,183954
Texas,Chambers County,All Types of Cancer,2016-2020,Male and Female,493.2,1034,212853
Texas,Cass County,All Types of Cancer,2016-2020,Male and Female,469.3,1046,150012
Texas,Washington County,All Types of Cancer,2016-2020,Male and Female,405.1,1050,176374
Texas,Atascosa County,All Types of Cancer,2016-2020,Male and Female,379.3,1067,250972
Texas,Maverick County,All Types of Cancer,2016-2020,Male and Female,398.8,1067,290489
Texas,Waller County,All Types of Cancer,2016-2020,Male and Female,435.5,1110,268129
Texas,Wharton County,All Types of Cancer,2016-2020,Male and Female,424.7,1111,208359
Texas,Hopkins County,All Types of Cancer,2016-2020,Male and Female,468,1111,183542
Texas,Fannin County,All Types of Cancer,2016-2020,Male and Female,473.7,1118,175232
Texas,Starr County,All Types of Cancer,2016-2020,Male and Female,392.9,1119,320161
Texas,Brown County,All Types of Cancer,2016-2020,Male and Female,441.3,1160,189025
Texas,Jasper County,All Types of Cancer,2016-2020,Male and Female,479.7,1176,177810
Texas,Kendall County,All Types of Cancer,2016-2020,Male and Female,380.5,1183,227456
Texas,Hill County,All Types of Cancer,2016-2020,Male and Female,465.4,1202,180543
Texas,Wilson County,All Types of Cancer,2016-2020,Male and Female,394.3,1210,250551
Texas,Medina County,All Types of Cancer,2016-2020,Male and Female,387.3,1236,254343
Texas,Cooke County,All Types of Cancer,2016-2020,Male and Female,482.3,1294,202138
Texas,Upshur County,All Types of Cancer,2016-2020,Male and Female,469.6,1299,206931
Texas,Nacogdoches County,All Types of Cancer,2016-2020,Male and Female,375,1329,325401
Texas,Navarro County,All Types of Cancer,2016-2020,Male and Female,435.8,1355,247375
Texas,Anderson County,All Types of Cancer,2016-2020,Male and Female,428.2,1443,289586
Texas,Rusk County,All Types of Cancer,2016-2020,Male and Female,435,1481,269940
Texas,Coryell County,All Types of Cancer,2016-2020,Male and Female,479,1544,377881
Texas,Burnet County,All Types of Cancer,2016-2020,Male and Female,437.8,1555,237738
Texas,Cherokee County,All Types of Cancer,2016-2020,Male and Female,477.4,1577,261704
Texas,Lamar County,All Types of Cancer,2016-2020,Male and Female,472.1,1594,248523
Texas,Hardin County,All Types of Cancer,2016-2020,Male and Female,450.2,1604,286780
Texas,San Patricio County,All Types of Cancer,2016-2020,Male and Female,440.9,1657,334847
Texas,Wood County,All Types of Cancer,2016-2020,Male and Female,456.4,1806,225269
Texas,Van Zandt County,All Types of Cancer,2016-2020,Male and Female,467,1869,279850
Texas,Wise County,All Types of Cancer,2016-2020,Male and Female,461.4,1869,339421
Texas,Kerr County,All Types of Cancer,2016-2020,Male and Female,423,1875,260975
Texas,Harrison County,All Types of Cancer,2016-2020,Male and Female,461,1940,332736
Texas,Walker County,All Types of Cancer,2016-2020,Male and Female,519,2033,361476
Texas,Polk County,All Types of Cancer,2016-2020,Male and Female,633.6,2123,250774
Texas,Liberty County,All Types of Cancer,2016-2020,Male and Female,464.4,2140,430863
Texas,Rockwall County,All Types of Cancer,2016-2020,Male and Female,411.6,2166,505877
Texas,Hood County,All Types of Cancer,2016-2020,Male and Female,459.5,2249,300127
Texas,Bastrop County,All Types of Cancer,2016-2020,Male and Female,453.6,2328,434194
Texas,Orange County,All Types of Cancer,2016-2020,Male and Female,465.5,2371,418879
Texas,Angelina County,All Types of Cancer,2016-2020,Male and Female,454.1,2408,435595
Texas,Victoria County,All Types of Cancer,2016-2020,Male and Female,449.8,2411,460220
Texas,Bowie County,All Types of Cancer,2016-2020,Male and Female,430.2,2500,468108
Texas,Hunt County,All Types of Cancer,2016-2020,Male and Female,439.6,2600,481011
Texas,Midland County,All Types of Cancer,2016-2020,Male and Female,368.3,2837,856189
Texas,Potter County,All Types of Cancer,2016-2020,Male and Female,470,2849,591614
Texas,Ector County,All Types of Cancer,2016-2020,Male and Female,434.6,2997,810335
Texas,Kaufman County,All Types of Cancer,2016-2020,Male and Female,464.3,3005,648962
Texas,Henderson County,All Types of Cancer,2016-2020,Male and Female,487.3,3017,409844
Texas,Tom Green County,All Types of Cancer,2016-2020,Male and Female,451.2,3042,593225
Texas,Randall County,All Types of Cancer,2016-2020,Male and Female,430.2,3323,680027
Texas,Taylor County,All Types of Cancer,2016-2020,Male and Female,451.2,3325,687605
Texas,Brazos County,All Types of Cancer,2016-2020,Male and Female,384.3,3333,1131850
Texas,Wichita County,All Types of Cancer,2016-2020,Male and Female,472.2,3501,660772
Texas,Gregg County,All Types of Cancer,2016-2020,Male and Female,492.8,3521,618167
Texas,Guadalupe County,All Types of Cancer,2016-2020,Male and Female,403.5,3638,815151
Texas,Webb County,All Types of Cancer,2016-2020,Male and Female,331.8,3723,1374233
Texas,Comal County,All Types of Cancer,2016-2020,Male and Female,393.3,3890,744606
Texas,Grayson County,All Types of Cancer,2016-2020,Male and Female,457,3973,667635
Texas,Parker County,All Types of Cancer,2016-2020,Male and Female,498.4,4154,692233
Texas,Ellis County,All Types of Cancer,2016-2020,Male and Female,451.8,4271,897420
Texas,Hays County,All Types of Cancer,2016-2020,Male and Female,423.9,4323,1114137
Texas,Johnson County,All Types of Cancer,2016-2020,Male and Female,470,4488,856796
Texas,Jefferson County,All Types of Cancer,2016-2020,Male and Female,420.9,6081,1265682
Texas,McLennan County,All Types of Cancer,2016-2020,Male and Female,441.7,6109,1270225
Texas,Lubbock County,All Types of Cancer,2016-2020,Male and Female,429.4,6445,1541958
Texas,Smith County,All Types of Cancer,2016-2020,Male and Female,464,6473,1150922
Texas,Cameron County,All Types of Cancer,2016-2020,Male and Female,357,7638,2110675
Texas,Bell County,All Types of Cancer,2016-2020,Male and Female,480.2,7675,1778502
Texas,Nueces County,All Types of Cancer,2016-2020,Male and Female,380.9,7705,1810753
Texas,Brazoria County,All Types of Cancer,2016-2020,Male and Female,422.5,7835,1840309
Texas,Galveston County,All Types of Cancer,2016-2020,Male and Female,436.6,8482,1687998
Texas,Williamson County,All Types of Cancer,2016-2020,Male and Female,439.4,12524,2852187
Texas,Montgomery County,All Types of Cancer,2016-2020,Male and Female,402.5,12733,2950941
Texas,Hidalgo County,All Types of Cancer,2016-2020,Male and Female,344,13062,4305684
Texas,Fort Bend County,All Types of Cancer,2016-2020,Male and Female,377.1,14541,3954459
Texas,El Paso County,All Types of Cancer,2016-2020,Male and Female,399.7,16384,4184576
Texas,Denton County,All Types of Cancer,2016-2020,Male and Female,412.6,16504,4308452
Texas,Collin County,All Types of Cancer,2016-2020,Male and Female,399,19367,5030190
Texas,Travis County,All Types of Cancer,2016-2020,Male and Female,405.4,22570,6254419
Texas,Bexar County,All Types of Cancer,2016-2020,Male and Female,389.6,37922,9894132
Texas,Tarrant County,All Types of Cancer,2016-2020,Male and Female,430,43462,10385766
Texas,Dallas County,All Types of Cancer,2016-2020,Male and Female,417.1,51162,13113168
Texas,Harris County,All Types of Cancer,2016-2020,Male and Female,393.9,84936,23403043
