Area,County,Cancer Type,Year,Sex,Age-Adjusted Rate,Death Count,Population
Texas,Moore County,All Types of Cancer,2016-2020,Male and Female,133.8,132,105847
Texas,Karnes County,All Types of Cancer,2016-2020,Male and Female,153.7,133,77736
Texas,Marion County,All Types of Cancer,2016-2020,Male and Female,148,133,49933
Texas,Deaf Smith County,All Types of Cancer,2016-2020,Male and Female,148.9,138,93087
Texas,Franklin County,All Types of Cancer,2016-2020,Male and Female,177.6,139,53833
Texas,Clay County,All Types of Cancer,2016-2020,Male and Female,167,140,52218
Texas,Wilbarger County,All Types of Cancer,2016-2020,Male and Female,162.2,141,63586
Texas,Coleman County,All Types of Cancer,2016-2020,Male and Female,196.8,143,41406
Texas,Madison County,All Types of Cancer,2016-2020,Male and Female,172.1,143,71645
Texas,Camp County,All Types of Cancer,2016-2020,Male and Female,168.5,145,64692
Texas,Willacy County,All Types of Cancer,2016-2020,Male and Female,129.3,146,107093
Texas,Comanche County,All Types of Cancer,2016-2020,Male and Female,127.5,148,67983
Texas,Frio County,All Types of Cancer,2016-2020,Male and Female,161.2,149,100064
Texas,Hamilton County,All Types of Cancer,2016-2020,Male and Female,216.4,152,42172
Texas,Rains County,All Types of Cancer,2016-2020,Male and Female,155.9,158,60005
Texas,Scurry County,All Types of Cancer,2016-2020,Male and Female,161.8,160,84592
Texas,Blanco County,All Types of Cancer,2016-2020,Male and Female,162.5,165,58665
Texas,Newton County,All Types of Cancer,2016-2020,Male and Female,166.4,169,68942
Texas,Callahan County,All Types of Cancer,2016-2020,Male and Female,164.9,171,69793
Texas,Jackson County,All Types of Cancer,2016-2020,Male and Female,175.4,176,74109
Texas,Red River County,All Types of Cancer,2016-2020,Male and Female,169.1,183,60573
Texas,Sabine County,All Types of Cancer,2016-2020,Male and Female,171,184,52349
Texas,Morris County,All Types of Cancer,2016-2020,Male and Female,194.2,187,61785
Texas,Jones County,All Types of Cancer,2016-2020,Male and Female,165.3,193,99372
Texas,Hockley County,All Types of Cancer,2016-2020,Male and Female,158,201,114930
Texas,Nolan County,All Types of Cancer,2016-2020,Male and Female,201.8,201,74507
Texas,Falls County,All Types of Cancer,2016-2020,Male and Female,171.5,204,86403
Texas,Gray County,All Types of Cancer,2016-2020,Male and Female,149.9,209,110315
Texas,Lee County,All Types of Cancer,2016-2020,Male and Female,180.8,217,85870
Texas,Gonzales County,All Types of Cancer,2016-2020,Male and Female,165.9,220,104142
Texas,Robertson County,All Types of Cancer,2016-2020,Male and Female,185.5,223,85469
Texas,Burleson County,All Types of Cancer,2016-2020,Male and Female,157.7,227,91185
Texas,Hutchinson County,All Types of Cancer,2016-2020,Male and Female,173.2,230,105523
Texas,Eastland County,All Types of Cancer,2016-2020,Male and Female,163.6,233,91444
Texas,Calhoun County,All Types of Cancer,2016-2020,Male and Female,166.6,240,107348
Texas,Freestone County,All Types of Cancer,2016-2020,Male and Female,172.3,247,98722
Texas,Young County,All Types of Cancer,2016-2020,Male and Female,192,254,89805
Texas,Tyler County,All Types of Cancer,2016-2020,Male and Female,148,255,107621
Texas,Colorado County,All Types of Cancer,2016-2020,Male and Female,152.3,255,106786
Texas,Leon County,All Types of Cancer,2016-2020,Male and Female,173.4,258,86627
Texas,Bee County,All Types of Cancer,2016-2020,Male and Female,162.5,264,163046
Texas,Lampasas County,All Types of Cancer,2016-2020,Male and Female,173.6,265,105761
Texas,Limestone County,All Types of Cancer,2016-2020,Male and Female,167.6,266,116822
Texas,Lavaca County,All Types of Cancer,2016-2020,Male and Female,156.6,267,100359
Texas,Trinity County,All Types of Cancer,2016-2020,Male and Female,205,277,73445
Texas,Kleberg County,All Types of Cancer,2016-2020,Male and Female,186.8,279,153623
Texas,Titus County,All Types of Cancer,2016-2020,Male and Female,160.1,281,163544
Texas,Montague County,All Types of Cancer,2016-2020,Male and Female,180.3,283,98201
Texas,Hale County,All Types of Cancer,2016-2020,Male and Female,162.3,288,167316
Texas,Uvalde County,All Types of Cancer,2016-2020,Male and Female,175.2,290,134496
Texas,Fayette County,All Types of Cancer,2016-2020,Male and Female,122.9,290,126236
Texas,Howard County,All Types of Cancer,2016-2020,Male and Female,150.4,290,181065
Texas,Bosque County,All Types of Cancer,2016-2020,Male and Female,184.3,293,92139
Texas,DeWitt County,All Types of Cancer,2016-2020,Male and Female,195.4,293,101083
Texas,Houston County,All Types of Cancer,2016-2020,Male and Female,159.2,296,114710
Texas,Milam County,All Types of Cancer,2016-2020,Male and Female,160.2,301,123984
Texas,Shelby County,All Types of Cancer,2016-2020,Male and Female,181,302,126313
Texas,Panola County,All Types of Cancer,2016-2020,Male and Female,184,305,115931
Texas,Bandera County,All Types of Cancer,2016-2020,Male and Female,144.3,309,113848
Texas,Austin County,All Types of Cancer,2016-2020,Male and Female,147.5,314,149458
Texas,Erath County,All Types of Cancer,2016-2020,Male and Female,141.1,316,211130
Texas,Grimes County,All Types of Cancer,2016-2020,Male and Female,167.3,324,142237
Texas,Chambers County,All Types of Cancer,2016-2020,Male and Female,167,327,212853
Texas,San Jacinto County,All Types of Cancer,2016-2020,Male and Female,155.4,347,142868
Texas,Palo Pinto County,All Types of Cancer,2016-2020,Male and Female,172.8,362,143962
Texas,Llano County,All Types of Cancer,2016-2020,Male and Female,147.5,364,107258
Texas,Gillespie County,All Types of Cancer,2016-2020,Male and Female,131.5,367,133338
Texas,Jim Wells County,All Types of Cancer,2016-2020,Male and Female,160.2,375,203982
Texas,Maverick County,All Types of Cancer,2016-2020,Male and Female,143.6,376,290489
Texas,Kendall County,All Types of Cancer,2016-2020,Male and Female,118.9,377,227456
Texas,Starr County,All Types of Cancer,2016-2020,Male and Female,133.6,380,320161
Texas,Waller County,All Types of Cancer,2016-2020,Male and Female,153.6,382,268129
Texas,Val Verde County,All Types of Cancer,2016-2020,Male and Female,146.9,385,245089
Texas,Washington County,All Types of Cancer,2016-2020,Male and Female,138.3,391,176374
Texas,Atascosa County,All Types of Cancer,2016-2020,Male and Female,140.8,397,250972
Texas,Caldwell County,All Types of Cancer,2016-2020,Male and Female,166.3,401,214084
Texas,Hopkins County,All Types of Cancer,2016-2020,Male and Female,162.9,404,183542
Texas,Aransas County,All Types of Cancer,2016-2020,Male and Female,183.1,410,121098
Texas,Fannin County,All Types of Cancer,2016-2020,Male and Female,169,419,175232
Texas,Cass County,All Types of Cancer,2016-2020,Male and Female,174.7,424,150012
Texas,Jasper County,All Types of Cancer,2016-2020,Male and Female,170.4,430,177810
Texas,Medina County,All Types of Cancer,2016-2020,Male and Female,136.7,439,254343
Texas,Wilson County,All Types of Cancer,2016-2020,Male and Female,142.9,443,250551
Texas,Wharton County,All Types of Cancer,2016-2020,Male and Female,164.1,444,208359
Texas,Matagorda County,All Types of Cancer,2016-2020,Male and Female,189.8,446,183954
Texas,Cooke County,All Types of Cancer,2016-2020,Male and Female,163.9,455,202138
Texas,Brown County,All Types of Cancer,2016-2020,Male and Female,167.3,467,189025
Texas,Upshur County,All Types of Cancer,2016-2020,Male and Female,175.2,495,206931
Texas,Hill County,All Types of Cancer,2016-2020,Male and Female,187,500,180543
Texas,Walker County,All Types of Cancer,2016-2020,Male and Female,139.9,523,361476
Texas,Cherokee County,All Types of Cancer,2016-2020,Male and Female,159.8,545,261704
Texas,Navarro County,All Types of Cancer,2016-2020,Male and Female,177.8,556,247375
Texas,Burnet County,All Types of Cancer,2016-2020,Male and Female,148.5,558,237738
Texas,Coryell County,All Types of Cancer,2016-2020,Male and Female,184.4,559,377881
Texas,Rusk County,All Types of Cancer,2016-2020,Male and Female,166.7,566,269940
Texas,Nacogdoches County,All Types of Cancer,2016-2020,Male and Female,158,574,325401
Texas,Hardin County,All Types of Cancer,2016-2020,Male and Female,164.9,598,286780
Texas,Lamar County,All Types of Cancer,2016-2020,Male and Female,181.3,628,248523
Texas,San Patricio County,All Types of Cancer,2016-2020,Male and Female,171,642,334847
Texas,Wood County,All Types of Cancer,2016-2020,Male and Female,162.2,651,225269
Texas,Harrison County,All Types of Cancer,2016-2020,Male and Female,153.1,664,332736
Texas,Rockwall County,All Types of Cancer,2016-2020,Male and Female,140.2,688,505877
Texas,Van Zandt County,All Types of Cancer,2016-2020,Male and Female,172.3,707,279850
Texas,Wise County,All Types of Cancer,2016-2020,Male and Female,182.9,720,339421
Texas,Polk County,All Types of Cancer,2016-2020,Male and Female,236.3,742,250774
Texas,Kerr County,All Types of Cancer,2016-2020,Male and Female,151,761,260975
Texas,Anderson County,All Types of Cancer,2016-2020,Male and Female,225.5,768,289586
Texas,Hood County,All Types of Cancer,2016-2020,Male and Female,148.1,772,300127
Texas,Bastrop County,All Types of Cancer,2016-2020,Male and Female,161.1,809,434194
Texas,Angelina County,All Types of Cancer,2016-2020,Male and Female,159.6,852,435595
Texas,Victoria County,All Types of Cancer,2016-2020,Male and Female,156.3,853,460220
Texas,Liberty County,All Types of Cancer,2016-2020,Male and Female,194.5,854,430863
Texas,Orange County,All Types of Cancer,2016-2020,Male and Female,184,955,418879
Texas,Bowie County,All Types of Cancer,2016-2020,Male and Female,174.6,1035,468108
Texas,Hunt County,All Types of Cancer,2016-2020,Male and Female,175.1,1041,481011
Texas,Brazos County,All Types of Cancer,2016-2020,Male and Female,125.8,1046,1131850
Texas,Midland County,All Types of Cancer,2016-2020,Male and Female,144.6,1079,856189
Texas,Tom Green County,All Types of Cancer,2016-2020,Male and Female,155.7,1082,593225
Texas,Potter County,All Types of Cancer,2016-2020,Male and Female,181.5,1086,591614
Texas,Randall County,All Types of Cancer,2016-2020,Male and Female,140,1086,680027
Texas,Kaufman County,All Types of Cancer,2016-2020,Male and Female,178.4,1107,648962
Texas,Henderson County,All Types of Cancer,2016-2020,Male and Female,173.1,1114,409844
Texas,Ector County,All Types of Cancer,2016-2020,Male and Female,173.4,1130,810335
Texas,Gregg County,All Types of Cancer,2016-2020,Male and Female,170.9,1247,618167
Texas,Taylor County,All Types of Cancer,2016-2020,Male and Female,168,1286,687605
Texas,Guadalupe County,All Types of Cancer,2016-2020,Male and Female,147.3,1289,815151
Texas,Hays County,All Types of Cancer,2016-2020,Male and Female,140.8,1315,1114137
Texas,Parker County,All Types of Cancer,2016-2020,Male and Female,164.2,1344,692233
Texas,Webb County,All Types of Cancer,2016-2020,Male and Female,126,1351,1374233
Texas,Comal County,All Types of Cancer,2016-2020,Male and Female,139.6,1383,744606
Texas,Wichita County,All Types of Cancer,2016-2020,Male and Female,184.5,1402,660772
Texas,Ellis County,All Types of Cancer,2016-2020,Male and Female,159.8,1444,897420
Texas,Grayson County,All Types of Cancer,2016-2020,Male and Female,173,1539,667635
Texas,Johnson County,All Types of Cancer,2016-2020,Male and Female,171.8,1611,856796
Texas,Smith County,All Types of Cancer,2016-2020,Male and Female,145.9,2086,1150922
Texas,McLennan County,All Types of Cancer,2016-2020,Male and Female,155.2,2195,1270225
Texas,Jefferson County,All Types of Cancer,2016-2020,Male and Female,154.7,2266,1265682
Texas,Lubbock County,All Types of Cancer,2016-2020,Male and Female,153.7,2316,1541958
Texas,Bell County,All Types of Cancer,2016-2020,Male and Female,161.3,2487,1778502
Texas,Cameron County,All Types of Cancer,2016-2020,Male and Female,117.3,2544,2110675
Texas,Brazoria County,All Types of Cancer,2016-2020,Male and Female,156.6,2739,1840309
Texas,Nueces County,All Types of Cancer,2016-2020,Male and Female,138.2,2815,1810753
Texas,Galveston County,All Types of Cancer,2016-2020,Male and Female,171.2,3244,1687998
Texas,Williamson County,All Types of Cancer,2016-2020,Male and Female,128.9,3426,2852187
Texas,Fort Bend County,All Types of Cancer,2016-2020,Male and Female,116.3,4032,3954459
Texas,Hidalgo County,All Types of Cancer,2016-2020,Male and Female,111.8,4204,4305684
Texas,Montgomery County,All Types of Cancer,2016-2020,Male and Female,143.4,4367,2950941
Texas,Denton County,All Types of Cancer,2016-2020,Male and Female,123.5,4424,4308452
Texas,Collin County,All Types of Cancer,2016-2020,Male and Female,118.8,5223,5030190
Texas,El Paso County,All Types of Cancer,2016-2020,Male and Female,131.6,5351,4184576
Texas,Travis County,All Types of Cancer,2016-2020,Male and Female,120.8,6025,6254419
Texas,Bexar County,All Types of Cancer,2016-2020,Male and Female,142,13428,9894132
Texas,Tarrant County,All Types of Cancer,2016-2020,Male and Female,149.2,14283,10385766
Texas,Dallas County,All Types of Cancer,2016-2020,Male and Female,146.3,16934,13113168
Texas,Harris County,All Types of Cancer,2016-2020,Male and Female,139.4,28052,23403043
